Number of Points,Import I/O,Preprocessing,Cover and Grow,2D Contour,3D Contour,Geometric Features,Export I/O, Tetgen 1,Tetgen 2,Triangle 1,Triangle 2
4000,5739,2596,7351,34065,354654,240111,168029,28508,28573,336,277
360,550,455,1236,6346,43549,20572,18633,5662,4936,450,48
360,808,270,1153,5710,42589,20784,20323,5050,5182,71,47
360,777,279,1165,5693,42699,20481,18758,4989,4883,73,47
360,653,273,1194,5942,43273,20468,18752,5283,4952,85,47
360,526,271,1177,5809,42734,20549,18707,4950,5002,79,48
640,921,475,1688,8607,70736,37349,32127,7445,7446,91,65
640,1069,482,1699,8378,69232,37207,31416,7387,7119,95,64
640,1163,468,1672,8565,69851,36767,31446,7262,7107,93,64
640,1194,470,1668,8409,70947,36891,32140,7291,7405,97,69
640,1221,464,1722,8490,70491,37030,31477,7240,7187,93,64
1000,1380,704,2389,11764,108295,56126,47039,12564,10067,122,93
1000,1766,699,2333,11519,100953,55636,45995,10058,10052,125,95
1000,1760,705,2318,11766,100940,55705,46185,9983,9986,125,96
1000,1673,711,2330,11524,101577,55980,46404,10249,9974,122,95
1000,1383,699,2351,11553,100220,54853,46768,10168,10119,119,95
1440,2129,993,3168,15024,140808,78771,65228,12529,12576,160,127
1440,2222,949,3019,15301,143832,79948,65058,12712,13587,153,126
1440,2023,992,3108,14581,138468,79425,63951,12616,12839,155,128
1440,2306,991,3057,14869,140255,80823,64507,12646,12989,157,133
1440,2326,975,3096,14548,139543,78201,63087,12477,12709,158,142
1960,2876,1374,4042,19178,189494,114657,86322,16626,16383,200,170
1960,3314,1306,4006,19082,197393,116434,86470,16194,16375,199,166
1960,2659,1368,3987,19094,190938,119058,87746,16156,16059,193,192
1960,2965,1339,4083,19203,190090,114475,85899,16275,16026,204,168
1960,3098,1315,4039,18978,194067,114507,87032,16141,16397,190,163
2560,3642,1738,4994,24098,240451,149278,110694,20283,20087,248,216
2560,3607,1718,5034,24134,238179,149635,110620,20133,20043,261,219
2560,3900,1731,4994,23420,249626,147102,112380,20161,20098,275,227
2560,3588,1689,4997,24283,238413,141689,111444,20304,20164,273,216
2560,3978,1716,4972,24141,260392,147647,110739,20198,20102,287,212
3240,4718,2264,6190,29253,300086,206537,137552,24334,24217,298,255
3240,4538,2100,6056,28498,305191,190582,138614,24315,24294,325,260
3240,4670,2373,6209,28506,301832,188626,139394,24503,24253,314,259
3240,4912,2157,6072,28759,300208,206101,139458,24500,24132,308,254
3240,4638,2153,6090,28633,306966,201274,140256,24421,24304,280,285
3240,4529,2144,5852,27556,295326,188046,139270,23618,23784,314,234
3240,4977,2193,5865,27984,302675,185757,140503,23572,23181,285,240
3240,4604,2171,6037,28037,294943,191974,137270,23460,23494,275,234
3240,6334,2425,6201,28887,293227,186211,139955,23537,23192,284,235
3240,4820,2281,5878,27892,298127,187478,139169,23545,23493,270,232
4000,5570,2650,6841,32650,361680,229872,168999,27676,27334,334,291
4000,5965,3019,7242,32073,360767,239530,169956,27837,27643,319,278
4000,5787,2692,6951,32216,367235,263730,170827,28931,27408,355,276
4000,5714,2585,7001,32214,359108,250530,168871,27627,27555,321,275
4000,6027,2944,7159,32252,362020,230344,169841,28346,27543,320,274
4000,5595,2580,7467,35714,364158,250306,167649,29269,28732,332,307
4000,5518,2634,7253,34796,367994,234701,164820,29077,29130,344,299
4000,5811,2589,7236,34380,365224,241744,167173,29248,29334,351,288
4000,5843,2603,7294,34334,364155,229001,168400,29095,28717,338,279
4000,5802,2598,7318,34536,363061,227709,167932,29160,29029,349,298
360,602,489,1254,6537,52478,21291,19253,12578,4908,443,49
360,682,283,1150,5791,43799,20942,19423,5128,4996,70,44
360,736,276,1144,5707,42673,20979,19185,4820,4836,69,41
360,518,276,1146,5710,42443,21253,19005,4794,4786,67,44
360,813,276,1170,5666,42779,21225,19172,4801,4775,72,43
640,924,494,1699,8376,76171,37166,31905,7255,6840,104,63
640,1191,476,1688,8212,68191,36439,31439,7105,6968,92,65
640,1127,493,1624,8164,73111,37930,32730,7098,7147,91,62
640,1103,485,1675,8319,67909,36281,31254,6950,7107,93,61
640,1056,479,1640,8221,67960,36972,31425,7019,6979,88,62
1000,1448,714,2358,11283,99635,58388,46380,9822,9741,125,99
1000,1822,724,2273,11189,101680,58155,46040,9689,9584,121,95
1000,1622,704,2272,11129,99137,56133,46084,9732,9573,120,101
1000,1691,696,2275,11185,102175,57184,46717,9597,9653,124,98
1000,1404,705,2315,11329,101091,56735,46208,9565,9577,121,94
1440,2323,1046,3194,15939,144988,82914,66303,12875,12500,151,124
1440,2308,963,3038,15413,144902,86136,66650,12714,12542,152,132
1440,2043,970,3030,14767,143223,82573,65970,12521,12736,152,131
1440,2311,973,3041,14785,146271,84059,65766,12630,12791,150,123
1440,2295,966,3034,14804,145846,82868,65350,12696,12743,153,123
1960,2847,1367,3972,18876,181005,108653,86384,15044,15257,165,132
1960,3003,1286,3766,18072,181728,110560,85638,15245,15086,159,131
1960,2720,1370,3811,18379,185503,115574,87244,15312,15608,163,128
1960,3090,1284,3785,18197,183495,115607,85870,15294,15221,171,127
1960,3014,1280,3799,18156,181534,109265,85919,15198,15121,164,134
2560,3662,1762,5117,24593,244646,155995,110905,19593,19232,209,176
2560,3483,1679,5052,23668,257455,155221,111194,19527,19536,213,179
2560,3800,1681,5004,24013,238141,158715,111601,19573,19129,245,183
2560,3502,1678,5069,23448,244373,150995,110758,19503,19454,217,166
2560,3811,1768,5092,23675,237165,147527,112930,19510,19508,213,166
3240,4486,2145,6145,27691,291392,178480,134827,22980,23066,318,227
3240,4688,2148,5934,28200,286573,193830,135911,23027,23021,262,211
3240,4764,2163,5926,27380,288155,190101,136288,22857,22618,255,217
3240,4773,2150,6057,27814,294893,177511,134204,22905,22607,274,214
3240,4948,2271,6177,28227,288101,181388,136436,23036,22998,260,215
4000,5638,2627,7525,34890,372141,238438,172558,28945,28937,341,298
4000,5771,2565,7454,35157,374761,233661,171920,29343,30935,344,281
4000,5415,2553,7422,34838,369671,240713,168187,29076,28863,340,283
4000,5751,2637,7405,34809,372956,241309,176494,29084,28980,347,283
4000,5580,2550,7403,34564,375653,231984,168076,29041,28887,332,280
4840,6834,3174,8687,39676,431492,297282,203843,33143,32569,395,324
4840,6727,3133,8796,39804,431042,275871,199953,32857,33047,379,322
4840,6733,3092,8735,41356,423056,265784,200085,33089,32714,378,374
4840,6911,3114,8569,40562,430701,273012,200871,33061,32924,374,333
4840,6898,3197,8503,40931,437977,285793,203990,32925,32554,374,391
5760,8164,3769,10007,49801,509773,338152,240287,38934,38332,453,380
5760,8430,3704,10158,47148,509994,315773,236077,38140,37833,435,400
5760,8127,3634,10077,48520,536196,350917,238149,38029,37828,457,403
5760,8276,3622,9945,48294,520646,339687,239206,38272,38173,435,372
5760,8565,4031,10342,48961,510715,317276,238504,38517,38623,445,376
6760,9336,4706,12003,64834,614597,392826,283789,44773,44430,506,447
6760,9668,4599,11968,63130,604618,391486,283370,44533,44293,500,459
6760,9592,4428,11929,66137,626972,427409,283882,45124,44282,520,456
6760,9564,4463,11769,62813,611911,423924,283805,44770,44980,524,522
6760,9591,4583,11865,63339,616859,412962,281613,44711,44942,573,448
7840,10815,5307,13439,78069,687660,452927,327696,49792,49712,553,483
7840,11158,5317,13460,77683,697058,469436,326703,49928,49326,560,484
7840,11044,5423,13415,76144,698603,463139,323707,50367,49643,552,482
7840,10939,5189,13315,81839,700084,470436,329525,50839,50387,581,497
7840,11438,5210,13585,77004,698001,479022,322231,49763,50095,554,505
9000,12323,6058,15829,94913,808674,542881,378669,58295,58814,644,569
9000,12741,5905,15868,96553,809630,553449,374638,58819,58399,685,592
9000,12670,5982,15929,96310,808068,577934,379111,59803,59178,644,564
9000,12478,6056,16020,94870,802762,560990,373445,59417,58920,679,556
9000,12661,6349,16224,97508,841472,595796,373783,59495,58699,671,551
