17286,12644,17520,12643
4438,9078,4504,4503
2561,2802,7376,2560
2241,1599,786,6815
6173,5360,11297,11012
12177,11937,7461,11936
18380,18303,13661,13485
1274,6386,1030,1812
14204,14198,15026,9556
6065,671,5245,5438
10902,15544,10713,10687
4802,6291,10862,5886
5987,5114,4944,370
8233,8462,3647,8221
6659,1630,6517,1943
1863,149,6437,1589
5174,9431,5113,10327
10143,5862,5280,6379
12883,12806,17525,12648
11899,7146,12138,12066
14563,15306,9456,14098
6246,6183,9198,6416
8373,8529,13038,8616
1579,6153,1556,672
2604,7178,2364,2527
2052,6626,1323,538
6954,2138,6712,2123
11191,15833,10955,15835
6180,5834,9350,9377
16858,11972,16614,16615
12424,17066,12191,12280
950,802,5524,402
15494,10555,15237,15197
9162,14295,9653,15422
17790,17548,12905,17547
2814,2573,7388,7389
3452,3219,8027,3453
5973,10036,10844,9187
11530,7033,11531,7032
12488,17130,12487,17364
4770,10697,6435,10062
5452,9287,10705,5083
7972,7821,12232,7735
5249,4662,88,29
15097,14512,9870,9484
8487,8732,3913,8733
15030,15906,10388,16003
2340,2047,6914,2048
11224,11226,11008,5069
2031,2033,6607,1296
11456,10989,6737,11475
12634,17276,12616,17492
11262,6716,6974,6715
12937,8529,13038,12801
12967,17609,12730,12729
10922,10921,6727,5706
11339,15982,10992,15981
11936,12177,7460,7461
4826,10857,5770,5893
9258,15177,15057,10415
14503,9861,14876,15202
8403,8647,3828,3829
1448,159,6243,6022
8483,8704,13187,8728
3059,3292,7866,3291
12794,12793,12561,8071
771,4,1954,6528
2449,7265,2450,7024
216,5818,235,4809
1566,6519,6309,6140
471,5836,368,5045
17096,12218,16860,16861
5896,9678,5249,5262
10814,5354,9535,4738
5678,6086,5420,846
9742,9517,5118,10617
6881,6552,6551,11646
9051,4477,9052,9076
9563,9626,16044,14268
8641,8550,13245,8397
13693,18335,13440,13439
14522,15344,9170,9880
11369,16263,11368,11621
12008,16890,12009,16651
6309,10864,9212,4837
16754,16983,16925,12112
11484,16127,11485,11037
13065,12828,8091,8090
10208,10926,15572,15568
11817,11819,12060,7311
4069,8892,4140,4318
5363,6528,10653,10002
219,239,6752,4813
5951,5199,10745,6345
11218,5038,5418,10812
13098,17740,17741,12860
16845,16754,11961,12112
9445,5723,9784,5813
6910,6911,2044,6618
7556,2738,7557,2982
17131,16900,12257,16899
14495,9853,9689,14708
165,4910,4739,6064
7307,12063,11820,11825
10733,5402,9255,5881
8503,3717,8530,8291
17723,17724,12844,17486
2409,6983,7221,7167
10249,5191,9308,4947
8123,7885,12421,12422
1572,149,6437,1863
3187,2975,3207,7781
11014,15660,11018,9230
1373,803,5947,1188
5484,5287,713,5564
4492,9067,4493,4241
6077,5251,497,5071
10391,15033,10193,9545
15159,9673,15228,10517
10653,9585,15295,9356
9297,5647,9373,6494
9191,5672,9432,9212
2679,2927,7501,2926
3957,8731,4157,8776
8545,8791,13273,8790
5951,921,5495,574
16460,16703,11818,16701
2228,6802,602,2215
11006,5220,11005,11009
3678,3679,8493,3919
18172,17925,13283,18072
7379,2565,2564,7139
7901,12389,7669,12621
6680,6382,11361,6278
12171,16995,12124,12353
8057,12671,12804,8292
5689,11147,4866,11145
5405,10827,10332,9810
7070,2247,6821,6822
5249,9844,4603,9370
6872,11396,6871,11636
5687,10179,5422,10059
9539,9364,15126,10484
7387,7146,12138,7388
16935,12057,12293,12059
17880,13238,13236,12994
8674,3926,8501,3927
1913,514,6487,1332
4416,4411,4417,13733
12353,17225,12583,12402
12973,12975,12738,8478
5323,10901,4602,10900
12549,12319,12320,8040
5194,9891,5105,10096
8046,7813,12325,12556
9839,5678,5420,5182
6154,1142,5716,146
2475,7290,2716,7291
1784,1761,6358,358
6886,2277,6851,1984
17672,17436,12794,12793
6820,5371,11304,6821
2443,7258,2684,2485
6685,2111,6938,2098
6886,1984,6851,6558
6097,5041,10332,5405
5245,5438,9307,6065
15887,13842,9200,15042
3732,3498,8307,3733
7837,3031,7606,3032
13743,4571,13744,4572
228,809,820,5394
13487,13488,13741,18383
6715,2141,6974,6973
7065,2491,2471,2244
4801,227,4886,5332
9796,10557,15199,10476
4721,5672,9432,6336
6590,6589,11420,6588
1283,232,5857,753
16579,11937,16820,16819
14893,14843,9940,14582
6431,716,6251,1677
9506,4816,9616,4879
5736,195,6172,1162
18049,18050,13407,18303
15881,15880,11238,15893
8433,8434,3619,8193
8160,3349,7924,3350
7516,12098,11857,11856
39,4669,95,5827
4838,9254,4687,4722
3764,4006,8580,4005
80,6230,4752,4654
10004,9709,5608,9725
12784,17662,12783,13020
5530,6471,956,670
15420,9203,9150,13845
10433,5545,10127,5843
1605,1494,1421,6179
5358,500,5074,5209
3527,3526,8101,3291
9704,5057,10015,5229
13773,4463,13774,4462
3115,3116,7924,3350
10070,6444,10852,6506
2694,7514,2940,7515
17596,12716,17358,17359
6637,6645,10006,6607
4417,13733,13735,4416
17793,12909,17551,17588
1568,632,783,6142
2573,7147,2334,2572
10524,15166,10175,9685
12038,16681,12039,11794
11184,5513,10394,11207
1095,360,5960,5669
7389,2796,2611,2815
4745,6703,11045,5294
13767,13766,18409,13513
5570,6609,10285,4697
