81000,112182,73457,132260,2010226,6838471,5627484,3186926,418414,415884,4726,5768
81000,118380,72768,134653,1896065,6863604,5527578,3203260,417795,414646,4725,4754
81000,120822,72894,131884,1879891,6814678,5567756,3148536,414422,413157,4872,5641
81000,113064,71326,134029,1919290,6886277,5668662,3151602,417378,414630,4965,4893
81000,111978,71196,132067,2048574,6884339,5652296,3163316,420274,414824,4856,5555
84640,118118,76838,144667,2255603,7332611,5913762,3341251,454812,468416,4571,4423
84640,123941,76516,143697,2197901,7461628,5858935,3328931,454509,453729,4567,4425
84640,124219,76781,145113,2271378,7359108,5940764,3328430,457891,456496,4468,4385
84640,124296,76352,145675,2210847,7301727,5836038,3315748,456335,456234,4560,4526
84640,118020,76372,144443,2152991,7352882,6469111,3328659,457145,452454,4473,4521
88360,123251,79038,151965,2421077,7725904,6322672,3540864,477753,469309,4792,5143
88360,129043,79185,152924,2317702,7732916,6333282,3502734,476612,467370,4747,5443
88360,130081,80035,152465,2432009,7712584,6405281,3496777,472092,466849,4792,5523
88360,130441,79954,151332,2329665,7676660,6712602,3539579,476003,467696,4847,5359
88360,130453,82206,153289,2346923,7752566,6226010,3594369,478617,469201,4667,4960
92160,127369,83290,158621,2518940,8050865,6491104,3624671,497629,491018,5342,5370
92160,127995,83387,157588,2524838,8081271,6365106,3628393,501560,492819,5291,5606
92160,134711,83427,162195,2503115,8013573,6400442,3622520,498610,491797,5266,5248
92160,128562,82610,158611,2476219,7985593,6462783,3623527,501544,491404,5321,5866
92160,143396,106801,162989,2519747,8029476,6574196,3640703,497628,492142,5256,5184
96040,135536,86333,157801,2476111,8143962,6600583,3727561,483595,485324,5696,5845
96040,139817,86559,157489,2468631,8133385,7130835,3757184,487423,485549,5620,5760
96040,138834,87298,157022,2487616,8144009,6775440,3729055,487526,481834,5624,6021
96040,137344,86256,158122,2481039,8192052,6535629,3727051,488274,485293,5628,6633
96040,134122,86253,157830,2504008,8611461,6663531,3736484,489627,480440,5592,6023
100000,143481,90425,172124,2816163,8781638,6926639,3910918,546594,540938,5799,7102
100000,141050,90226,174837,2852224,8782096,7048568,3959557,546454,541487,5820,6977
100000,144764,90381,171621,2831609,8772768,7173773,4171714,550842,540065,5907,6793
