231,258,229,346
256,234,227,344
103,102,191,101
387,298,299,411
59,148,35,147
82,175,258,170
265,274,176,264
33,56,57,145
134,222,115,200
319,233,232,349
359,268,269,271
170,145,229,141
157,158,218,245
41,69,157,68
22,132,44,24
143,120,209,144
227,317,229,344
54,55,171,83
134,46,24,27
315,432,403,405
133,113,135,221
1,10,0,98
329,417,309,425
38,22,126,132
364,275,363,366
30,121,33,141
144,145,232,174
102,14,119,117
270,375,283,371
233,173,232,262
310,400,290,398
157,130,217,245
243,330,242,241
318,230,347,345
417,391,303,397
285,381,276,373
195,108,91,196
414,234,416,326
258,175,231,170
333,245,334,422
163,75,48,47
126,125,151,239
223,314,226,339
103,120,191,207
20,41,130,129
159,169,257,259
337,427,339,249
157,156,244,129
42,41,130,20
159,247,257,169
276,275,278,187
403,405,382,294
404,293,295,316
312,429,313,401
207,228,316,205
189,186,277,292
259,257,423,433
344,432,258,256
192,122,210,116
244,332,243,420
348,263,436,259
312,428,429,400
99,101,102,11
119,102,207,103
414,302,416,390
335,247,423,246
54,83,171,81
116,139,210,204
58,82,258,256
296,209,320,319
192,116,210,204
159,169,259,71
292,302,403,315
12,21,109,3
408,296,320,319
321,297,208,320
301,308,286,396
17,0,105,106
214,125,126,239
20,21,109,130
378,273,361,379
276,285,179,188
42,41,157,130
317,294,206,297
157,245,217,244
35,148,124,123
144,174,232,173
6,96,5,8
146,234,58,147
306,307,285,395
140,117,119,29
55,143,172,173
204,116,186,192
104,122,116,16
384,296,408,407
186,204,292,189
102,207,191,190
344,346,229,256
208,145,229,231
292,390,403,302
311,427,339,337
240,327,214,325
130,109,196,197
170,256,229,258
395,307,423,422
130,108,217,196
182,272,184,287
257,247,335,345
153,154,39,127
422,246,423,245
139,30,141,118
259,257,433,345
124,238,149,150
146,147,34,122
141,145,33,53
147,234,58,59
11,10,1,99
188,187,278,190
433,257,423,335
140,29,119,31
244,333,332,245
34,16,123,35
271,376,286,288
340,312,429,341
284,392,283,304
107,111,6,19
355,358,266,267
236,237,414,432
8,113,25,23
182,199,111,195
201,113,184,199
289,399,311,309
95,92,110,198
46,27,134,138
198,286,180,268
307,219,335,334
182,270,179,178
222,162,134,138
375,272,270,287
6,94,5,96
415,308,424,327
269,272,181,270
46,138,134,162
82,87,258,175
359,374,271,376
336,327,424,308
162,138,250,167
